date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
27.08.2019;0.0;9755,856;3335,19;Молдова, Республика;Moldova;Европа;Восточная Европа;азотные;Moldova;[47.2023352434,28.4649474852]
27.08.2019;1.0;178750;31719,19;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
27.08.2019;1.0;67500;11977,88;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
27.08.2019;1.0;20000;3549;Таиланд;Thailand;Азия;Юго-Восточная Азия;азотные;Thailand;[14.1518739329,100.898116007]
27.08.2019;1.0;2500;523,85;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
27.08.2019;1.0;195000;56617,59;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
27.08.2019;0.0;20758;8672,57;Сербия;Serbia;Европа;Южная Европа;калийные;Serbia;[44.2324489699,20.7914869277]
27.08.2019;0.0;2733900;647742,93;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
27.08.2019;1.0;40000;8381,55;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
27.08.2019;0.0;132600;22542;Китай;China;Азия;Восточная Азия;калийные;China;[32.3090710392,104.1375955]
27.08.2019;0.0;122400;34217,86;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
27.08.2019;0.0;14253400;3164254,8;Бразилия;Brazil;Америка;Южная Америка;азотные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;11000000;3321166,83;Бразилия;Brazil;Америка;Южная Америка;калийные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;1972000;526523,87;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
27.08.2019;1.0;81250;14417,82;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
27.08.2019;0.0;5420750;1653697,55;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
27.08.2019;0.0;189000;69930;Азербайджан;Azerbaijan;Азия;Западная Азия;сложные и комплексные;Azerbaijan;[40.314323219,48.0428025986]
27.08.2019;0.0;62173000;18031134,49;Эстония;Estonia;Европа;Северная Европа;сложные и комплексные;Estonia;[58.86386508,24.7963122]
27.08.2019;0.0;135200;43264;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
27.08.2019;1.0;3750;785,77;Коста-Рика;Costa Rica;Америка;Центральная Америка;азотные;Costa Rica;[9.80581668606,-84.2601363294]
27.08.2019;0.0;24000;5747,76;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
27.08.2019;0.0;470000;83190;Буркина-Фасо;Burkina Faso;Африка;Западная Африка;азотные;Burkina Faso;[12.2737935381,-1.74444829228]
27.08.2019;0.0;220000;40920;Либерия;Liberia;Африка;Западная Африка;азотные;Liberia;[6.32996015995,-9.34876519206]
27.08.2019;1.0;11250;1996,31;Малайзия;Malaysia;Азия;Юго-Восточная Азия;азотные;Malaysia;[5.98010916312,117.072018475]
27.08.2019;0.0;20060;15400;Соединенные Штаты;United States;Америка;Северная Америка;сложные и комплексные;United States;[39.383536885,-98.9051057934]
27.08.2019;1.0;210000;51558,28;Мавритания;Mauritania;Африка;Западная Африка;азотные;Mauritania;[20.2380039848,-10.4533428423]
